Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Content
1,1,1,1,0,0,0,0,0,1,0,0,5
0,1,1,1,1,0,0,1,1,0,0,1,5
0,1,1,0,1,0,1,0,0,0,0,0,6
0,1,1,0,1,0,0,0,0,0,0,0,6
0,0,1,0,0,0,1,0,0,1,0,0,4
0,1,0,1,0,0,0,0,1,0,0,0,5
1,1,0,1,0,0,1,1,1,1,0,1,5
1,1,1,1,1,1,0,0,0,0,0,0,6
1,1,1,1,1,0,0,1,1,0,0,0,6
0,1,1,0,1,1,0,1,1,0,0,1,4
0,1,0,1,1,0,1,0,0,0,1,0,6
1,1,0,1,1,1,1,0,1,0,0,0,6
1,1,1,1,0,0,1,1,0,1,1,1,5
0,1,0,0,1,1,1,0,0,0,0,0,6
0,1,0,1,1,0,0,1,0,1,0,0,6
1,1,1,0,1,0,1,1,1,1,0,1,4
0,1,1,0,1,0,0,0,0,0,0,0,6
1,1,1,1,1,0,0,0,1,0,1,0,5
1,1,1,1,0,1,0,0,0,0,0,0,6
0,1,1,0,1,0,1,1,1,1,0,0,4
1,1,1,1,1,1,0,1,0,1,1,1,5
1,1,0,1,1,0,0,0,0,1,0,1,5
0,1,1,1,0,0,0,1,1,1,0,0,5
0,0,0,1,1,0,1,0,0,0,0,0,6
0,1,1,1,1,1,1,1,1,1,0,0,6
1,1,1,0,1,0,1,0,1,1,0,1,5
1,1,1,1,1,0,0,0,1,0,1,0,5
1,1,1,1,1,1,0,1,1,1,1,0,5
1,1,1,0,1,1,1,0,0,1,0,0,6
1,1,1,1,1,0,1,1,1,1,1,1,5
0,1,0,1,0,0,0,0,0,1,0,0,5
0,1,1,0,0,0,0,1,1,1,0,0,5
0,1,1,1,1,1,1,0,1,1,0,1,4
0,1,1,1,0,0,0,1,1,0,0,0,5
1,1,1,1,1,1,0,0,0,0,0,0,6
0,1,1,1,1,1,1,0,0,0,0,1,6
0,0,1,0,1,0,0,0,0,0,1,1,4
0,1,0,0,0,0,1,1,0,1,0,1,4
0,1,0,1,1,0,1,0,0,1,0,0,6
0,0,1,0,1,0,0,1,0,1,0,0,4
0,0,0,1,1,0,0,0,0,0,0,0,6
1,0,0,0,0,0,0,1,0,0,0,0,6
1,1,0,0,1,1,1,0,0,0,0,1,6
1,1,0,1,1,1,1,1,1,1,1,0,4
0,1,0,1,1,1,1,1,1,1,1,1,4
0,1,0,1,1,0,1,0,0,1,0,0,6
0,0,0,0,0,0,0,0,1,0,0,0,4
0,1,0,0,0,0,0,0,1,0,0,0,5
1,1,0,1,1,1,1,1,1,0,0,1,6
1,1,0,1,1,0,0,1,0,0,0,1,6
1,1,0,0,1,1,1,0,0,0,0,1,6
1,1,0,1,1,1,1,1,0,0,0,0,6
1,1,1,0,1,0,1,1,1,1,1,0,4
0,1,1,1,1,1,1,0,0,0,1,0,6
1,1,1,0,1,1,1,1,1,1,1,1,4
0,1,1,1,1,0,0,0,0,1,0,1,5
1,0,0,1,1,1,1,1,1,1,0,1,4
0,1,0,0,1,1,1,1,0,1,0,1,4
1,1,0,1,1,1,1,1,1,1,1,1,4
0,1,1,0,1,1,1,1,1,1,0,0,4
0,1,1,0,1,1,1,1,1,1,0,0,4
0,1,1,0,1,1,0,1,1,1,0,1,4
0,0,1,0,1,0,1,1,1,1,0,1,4
1,1,1,0,0,0,0,1,0,0,0,0,6
0,1,0,1,1,0,1,0,0,0,0,1,6
0,1,0,0,0,1,0,1,0,0,0,0,6
1,1,0,0,0,0,0,1,0,1,0,0,5
1,1,1,1,1,0,0,0,1,0,0,0,5
1,1,1,1,1,1,1,1,1,1,1,1,4
