Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Content
52,53,60,62,65,70,73,79,82,86,89,93,5
50,53,60,62,68,70,73,77,83,87,91,94,5
51,53,60,64,68,71,76,80,84,88,90,95,6
51,53,60,64,68,71,73,80,84,85,89,95,6
49,54,60,63,66,69,76,79,84,86,90,96,4
50,53,58,62,65,71,73,79,83,85,89,95,5
52,53,58,62,66,71,76,77,83,86,91,94,5
52,53,60,62,68,72,74,78,82,85,91,93,6
52,53,60,62,68,70,74,77,83,87,90,95,6
49,53,60,64,68,72,75,77,83,85,89,94,4
51,53,58,62,68,70,76,79,82,88,92,95,6
52,53,58,62,68,72,76,78,83,87,91,95,6
52,53,60,62,65,70,76,77,82,86,92,94,5
51,53,58,64,68,72,76,78,82,85,91,95,6
51,53,58,62,68,71,75,77,84,86,89,93,6
52,53,60,64,68,71,76,77,83,86,90,94,4
49,53,60,63,68,70,75,79,82,87,89,96,6
52,53,60,62,68,71,75,78,83,85,92,95,5
52,53,60,62,67,72,74,78,84,87,91,95,6
50,53,60,64,68,71,76,77,83,86,90,96,4
52,53,60,62,68,72,75,77,81,86,92,94,5
52,53,59,62,68,71,74,79,82,86,91,94,5
51,53,60,62,65,69,74,77,83,86,91,95,5
49,54,59,62,68,70,76,78,82,87,91,93,6
49,53,60,62,68,72,76,77,83,86,89,95,6
52,53,60,64,68,70,76,80,83,86,91,94,5
52,53,60,62,68,71,75,78,83,85,92,95,5
52,53,60,62,68,72,73,77,83,86,92,95,5
52,53,60,64,68,72,76,79,81,86,90,95,6
52,53,60,62,68,71,76,77,83,86,92,94,5
51,53,58,62,65,69,73,78,81,86,90,93,5
49,53,60,63,65,70,75,77,83,86,90,95,5
50,53,60,62,68,72,76,79,83,86,90,94,4
51,53,60,62,67,69,74,77,83,87,91,93,5
52,53,60,62,68,72,74,79,84,88,91,95,6
50,53,60,62,68,72,76,79,84,88,90,94,6
51,56,60,64,68,69,74,78,82,87,92,94,4
51,53,59,61,67,69,76,77,84,86,90,94,4
51,53,58,62,68,71,76,79,82,86,90,93,6
50,55,60,63,68,70,73,77,82,86,90,95,4
51,54,58,62,68,71,75,79,84,87,89,96,6
52,54,59,64,67,69,73,77,82,87,89,95,6
52,53,58,63,68,72,76,79,82,85,91,94,6
52,53,58,62,68,72,76,77,83,86,92,96,4
51,53,58,62,68,72,76,77,83,86,92,94,4
51,53,58,62,68,71,76,79,82,86,90,93,6
51,55,59,63,67,71,75,79,83,87,91,95,4
50,53,59,64,65,71,74,78,83,88,90,95,5
52,53,59,62,68,72,76,77,83,87,90,94,6
52,53,58,62,68,71,74,77,82,88,90,94,6
52,53,58,63,68,72,76,78,82,87,89,94,6
52,53,58,62,68,72,76,77,81,85,89,96,6
52,53,60,61,68,70,76,77,83,86,92,95,4
51,53,60,62,68,72,76,79,81,87,92,95,6
52,53,60,63,68,72,76,77,83,86,92,94,4
50,53,60,62,68,70,75,79,84,86,90,94,5
52,54,59,62,68,72,76,77,83,86,90,94,4
50,53,59,63,68,72,76,77,82,86,91,94,4
52,53,58,62,68,72,76,77,83,86,92,94,4
51,53,60,64,68,72,76,77,83,86,89,96,4
51,53,60,64,68,72,76,77,83,86,89,96,4
50,53,60,64,68,72,75,77,83,86,90,94,4
50,55,60,64,68,70,76,77,83,86,89,94,4
52,53,60,64,65,69,75,77,82,88,90,95,6
51,53,59,62,68,70,76,79,84,87,90,94,6
51,53,58,64,67,72,74,77,84,87,91,93,6
52,53,57,64,65,70,74,77,84,86,90,95,5
52,53,60,62,68,70,74,80,83,88,91,93,5
51,53,60,64,68,70,75,77,81,86,91,95,6
51,53,60,62,67,69,74,77,82,85,90,95,6
52,53,60,64,68,70,73,79,82,88,89,93,6
52,53,60,64,68,70,73,80,82,86,90,95,5
51,53,60,62,68,72,76,77,82,88,90,94,6
51,55,59,64,65,69,76,77,82,86,90,93,4
50,53,60,62,67,70,73,79,82,87,89,96,5
50,53,60,62,68,70,76,77,82,87,92,96,6
52,53,58,62,68,71,76,79,83,86,92,93,5
50,54,60,61,65,72,76,79,81,85,89,96,6
49,53,59,62,67,71,75,78,83,86,90,94,5
